
              Name                 Version     Type   
────────────────────────────────────────────────────────
  abbrev                         2.0.0        npm     
  accepts                        1.3.8        npm     
  agent                          2.2.2        npm     
  agent-base                     7.1.1        npm     
  aggregate-error                3.1.0        npm     
  alpine-base                    3.21.0-r0    apk     
  alpine-baselayout              3.6.8-r0     apk     
  alpine-baselayout-data         3.6.8-r0     apk     
  alpine-keys                    2.5-r0       apk     
  alpine-release                 3.21.0-r0    apk     
  ansi-regex                     6.0.1        npm     
  ansi-regex                     5.0.1        npm     
  ansi-styles                    6.2.1        npm     
  ansi-styles                    4.3.0        npm     
  apk-tools                      2.14.6-r2    apk     
  aproba                         2.0.0        npm     
  arborist                       7.5.4        npm     
  archy                          1.0.0        npm     
  array-flatten                  1.1.1        npm     
  async                          3.2.5        npm     
  balanced-match                 1.0.2        npm     
  bin-links                      4.0.4        npm     
  binary-extensions              2.3.0        npm     
  body-parser                    1.20.3       npm     
  brace-expansion                2.0.1        npm     
  brace-expansion                1.1.11       npm     
  bundle                         2.3.2        npm     
  busybox                        1.37.0-r8    apk     
  busybox-binsh                  1.37.0-r8    apk     
  bytes                          3.1.2        npm     
  ca-certificates                20241010-r0  apk     
  ca-certificates-bundle         20241010-r0  apk     
  cacache                        18.0.3       npm     
  call-bind                      1.0.8        npm     
  call-bind-apply-helpers        1.0.1        npm     
  call-bound                     1.0.2        npm     
  canonical-json                 2.0.0        npm     
  chalk                          4.1.2        npm     
  chalk                          5.3.0        npm     
  chownr                         2.0.0        npm     
  ci-info                        4.0.0        npm     
  cidr-regex                     4.1.1        npm     
  clean-stack                    2.2.0        npm     
  cli-columns                    4.0.0        npm     
  cliui                          8.0.2        npm     
  cmd-shim                       6.0.3        npm     
  color-convert                  2.0.1        npm     
  color-name                     1.1.4        npm     
  common-ancestor-path           1.0.1        npm     
  concat-map                     0.0.1        npm     
  config                         8.3.4        npm     
  content-disposition            0.5.4        npm     
  content-type                   1.0.5        npm     
  cookie                         0.7.1        npm     
  cookie-signature               1.0.6        npm     
  core                           1.1.0        npm     
  corepack                       0.29.4       npm     
  cross-spawn                    7.0.3        npm     
  cssesc                         3.0.0        npm     
  debug                          2.6.9        npm     
  debug                          4.3.5        npm     
  define-data-property           1.1.4        npm     
  depd                           2.0.0        npm     
  destroy                        1.2.0        npm     
  diff                           5.2.0        npm     
  dunder-proto                   1.0.0        npm     
  eastasianwidth                 0.2.0        npm     
  ee-first                       1.1.1        npm     
  ejs                            3.1.10       npm     
  emoji-regex                    8.0.0        npm     
